turno,fumador,genero,dia,cuenta_total
almuerzo,false,mujer,jueves,6455.73
cena,true,hombre,viernes,7128.88
almuerzo,false,hombre,martes,5583.67
cena,false,hombre,miércoles,8667.18
almuerzo,true,hombre,sábado,11049.35
cena,true,mujer,jueves,7293.9
cena,true,mujer,martes,5524.4
almuerzo,true,hombre,domingo,7880.94
almuerzo,false,mujer,martes,6928.38
cena,false,hombre,sábado,6809.68
cena,true,mujer,martes,5919.95
cena,false,hombre,miércoles,7807.66
cena,false,mujer,sábado,5401.36
almuerzo,false,hombre,viernes,8781.15
almuerzo,true,hombre,jueves,5419.49
cena,true,mujer,jueves,8729.02
cena,false,mujer,viernes,7089.11
cena,true,hombre,miércoles,5110.9
cena,true,hombre,miércoles,4598.28
cena,true,mujer,sábado,7878.61
cena,true,mujer,martes,3928.4
almuerzo,true,mujer,domingo,7955.15
almuerzo,true,mujer,sábado,10869.09
cena,false,hombre,miércoles,6014.61
cena,false,mujer,martes,8072.46
cena,false,mujer,sábado,8695.28
almuerzo,true,mujer,miércoles,6942.28
almuerzo,true,hombre,sábado,9252.23
almuerzo,true,hombre,miércoles,12557.59
cena,false,hombre,martes,10318.14
almuerzo,false,hombre,martes,5531.17
cena,false,mujer,jueves,6450.96
almuerzo,false,hombre,jueves,3483.84
cena,false,mujer,martes,8093.4
almuerzo,false,mujer,miércoles,10948.33
cena,false,mujer,martes,5203.4
almuerzo,false,hombre,sábado,2538.6
cena,true,mujer,viernes,6438.83
almuerzo,true,mujer,jueves,2782.9
almuerzo,false,hombre,domingo,11195.34
almuerzo,false,hombre,viernes,7026.45
almuerzo,true,mujer,viernes,7104.86
cena,false,hombre,domingo,6117.45
almuerzo,false,mujer,jueves,7137.12
cena,true,mujer,martes,9884.18
cena,false,hombre,sábado,9204.61
almuerzo,false,mujer,miércoles,10398.12
almuerzo,true,mujer,martes,9176.06
almuerzo,true,mujer,martes,10095.99
almuerzo,true,hombre,miércoles,5936.34
cena,false,hombre,miércoles,4512.71
cena,false,mujer,domingo,11581.81
almuerzo,false,hombre,miércoles,8010.15
cena,true,mujer,domingo,6797.59
almuerzo,true,hombre,viernes,5851.36
almuerzo,true,mujer,jueves,6371.85
almuerzo,true,hombre,miércoles,1353.23
cena,false,hombre,domingo,10449.97
almuerzo,false,mujer,domingo,9331.77
cena,false,hombre,sábado,7934.59
almuerzo,false,hombre,martes,7567.21
cena,false,mujer,viernes,10787.59
cena,true,hombre,domingo,7786.99
cena,true,hombre,martes,11630.72
almuerzo,false,hombre,viernes,8202.89
almuerzo,false,hombre,sábado,13424.58
cena,true,mujer,domingo,10061.15
cena,false,hombre,domingo,7399.56
almuerzo,false,hombre,domingo,9862.6
cena,true,hombre,domingo,6594.5
almuerzo,true,hombre,viernes,8008.77
cena,true,mujer,jueves,11831.42
cena,true,hombre,jueves,7358.38
cena,false,hombre,sábado,2015.09
cena,false,mujer,domingo,5601.73
cena,true,hombre,sábado,7720.04
cena,true,hombre,martes,10274.08
almuerzo,true,mujer,domingo,9560.54
cena,false,mujer,jueves,7282.75
cena,false,mujer,viernes,6490.47
almuerzo,true,hombre,domingo,3709.62
cena,true,mujer,jueves,5395.31
cena,true,hombre,viernes,8594.12
cena,true,hombre,martes,7345.98
cena,false,mujer,martes,9614.41
almuerzo,true,hombre,jueves,8228.49
cena,true,mujer,viernes,1393.94
cena,true,mujer,martes,6573.23
almuerzo,true,mujer,domingo,5943.62
cena,true,hombre,martes,2907.28
cena,false,mujer,sábado,6906.87
almuerzo,false,mujer,miércoles,9187.35
cena,true,hombre,jueves,11770.09
cena,false,mujer,viernes,6116.26
cena,false,mujer,miércoles,10254.26
almuerzo,true,mujer,miércoles,10542.09
cena,false,hombre,jueves,7210.94
cena,true,mujer,miércoles,4933.88
cena,false,hombre,jueves,9118.78
cena,false,mujer,viernes,4994.1
almuerzo,true,hombre,miércoles,6851.32
cena,false,mujer,martes,7004.7
cena,false,hombre,miércoles,10169.13
almuerzo,false,mujer,martes,6684.34
almuerzo,true,hombre,viernes,10318.61
cena,true,mujer,martes,6996.16
cena,true,mujer,sábado,3156.76
almuerzo,true,mujer,miércoles,4688.12
cena,true,hombre,sábado,5432.18
almuerzo,false,mujer,viernes,9284.09
cena,true,hombre,martes,6135.36
almuerzo,false,mujer,viernes,7560.85
almuerzo,false,mujer,martes,10597.27
almuerzo,true,hombre,sábado,9037.55
almuerzo,false,hombre,miércoles,3099.07
almuerzo,false,hombre,martes,7632.96
cena,true,mujer,domingo,9175.92
almuerzo,false,mujer,viernes,10736.76
